Name,Location,Serves,Prices,Contact Person,Phones,Website
12 Step Sober Living,Sunland,Men,$800-$1000,Lisa and Joel Moss,(818) 293-2222,www.12stepsoberliving.org
Awakening Recovery,Beverlywood,Men,Varies,Greg Gelber,(310) 709-4415,awakeningrecovery.org
Herbert House Mature Sober Living,Culver City,Men,"$1,760",Jace Horwitz, (310) 737-7566,www.herberthouse.com/
Awakening Recovery,Los Angeles,Women,Varies,Aida Richey,(225) 400-4676,awakeningrecovery.org
Hilltop House,Highland Park,Men,Varies,Chris,(747) 271-8438,www.hilltopsoberliving.com
OC Alliance House,Garden Grove,Men,$850,Conor,714-330-9507,oc-cleansoberhomes.com
Private Sober Suites,West Los Angeles,Men,"$2,575",Jace Horwitz,(310) 737-7566,www.herberthouse.com/
Rainbow Hill Sober Living (LGBTQ – CO-ED),Echo Park,Coed,Varies,Joey,323-522-3452,www.rainbowhillrecovery.com
TheRightPath – Transitional Recovery Homes RBH/Medi-Cal/Self-Pay,Long Beach,Men,$750,Conor Van Nguyen,714-330-9507,recoverybridgehousing.org
Transformational Living Homes – Cherry – RBH/Self-Pay,Long Beach,Men,$950,Constance Gilkie,562-673-9214,www.Transformationallivinghomes.org
Transformational Living Homes – Daisy,Long Beach,Men,$800,Constance Gilkie,562-673-9214,www.Transformationallivinghomes.org
Transformational Living Homes – Norman,Long Beach,Men,$800,Constance Gilkie,562-673-9214,www.Transformationallivinghomes.org
Transformational Living Homes – Pepperwood – RBH/Self-Pay,Long Beach,Women,$950,Constance Gilkie,562-673-9214,www.Transformationallivinghomes.org
Transformational Living Homes – Walnut – RBH/Self-Pay,Long Beach,Men,$800,Constance Gilkie,562-673-9214,www.Transformationallivinghomes.org
House of Courage Blazewood,Riverside,Women,Varies, Devana Came, 909-609-0001,www.thehouseofcourage.com/
House of Courage Spruce,Riverside,Men,Varies, Devana Came, 909-609-0001,www.thehouseofcourage.com/
Rise Above Sober Homes – Fir Ave.,Moreno Valley,Men,$800,Bill Seward,310-947-7877,www.riseabovesoberhomes.com
Rise Above Sober Homes – Jeremiah Ct.,Riverside,Men,$800,Bill Seward,310-947-7877,www.riseabovesoberhomes.com
3B Housing,Los Angeles,Men,Varies,April, (310) 743-7139,
4 Word Living,Riverside,"Women, Women With Children",$500,Johnathan Boyd, 951-373-1305,
4 Word Living,Riverside,Men,$745,Johnathan Boyd, 951-373-1305,
4 Word Living,Riverside,"Women, Women With Children",$600,Johnathan Boyd, 951-373-1305,
818 Development Housing,Long Beach,Men,$600,Lance Riley, (562) 230-3112,
